"lon","lat","uniqueid","eventdate","eventCategory","population","literacy_rate","worker_population","police_proximity","postal_proximity","hospital_proximity","university_proximity","college_proximity","school_proximity","police_density","postal_density","hospital_density","university_density","college_density","school_density"
78.4744,17.3753,294776785,"04/24/2014","Threaten",3474197,0.832467185942536,0.406798175233011,0.00164303022264003,0.00570587319394283,0.00264306254883073,0.00200585815363084,0.00213693719709627,0.00295037802624768,0.458333333333333,0.197916666666667,0.244444444444444,0.666666666666667,0.217391304347826,0.121621621621622
78.4744,17.3753,293275502,"04/13/2014","Appeal",3474197,0.832467185942536,0.406798175233011,0.00164303022264003,0.00570587319394283,0.00264306254883073,0.00200585815363084,0.00213693719709627,0.00295037802624768,0.458333333333333,0.197916666666667,0.244444444444444,0.666666666666667,0.217391304347826,0.121621621621622
78.4744,17.3753,283608847,"01/26/2014","Coerce",3474197,0.832467185942536,0.406798175233011,0.00164303022264003,0.00570587319394283,0.00264306254883073,0.00200585815363084,0.00213693719709627,0.00295037802624768,0.458333333333333,0.197916666666667,0.244444444444444,0.666666666666667,0.217391304347826,0.121621621621622
78.4744,17.3753,294753532,"04/24/2014","Appeal",3474197,0.832467185942536,0.406798175233011,0.00164303022264003,0.00570587319394283,0.00264306254883073,0.00200585815363084,0.00213693719709627,0.00295037802624768,0.458333333333333,0.197916666666667,0.244444444444444,0.666666666666667,0.217391304347826,0.121621621621622
78.4744,17.3753,283610715,"01/26/2014","Protest",3474197,0.832467185942536,0.406798175233011,0.00164303022264003,0.00570587319394283,0.00264306254883073,0.00200585815363084,0.00213693719709627,0.00295037802624768,0.458333333333333,0.197916666666667,0.244444444444444,0.666666666666667,0.217391304347826,0.121621621621622
78.4744,17.3753,293086693,"04/11/2014","Protest",3474197,0.832467185942536,0.406798175233011,0.00164303022264003,0.00570587319394283,0.00264306254883073,0.00200585815363084,0.00213693719709627,0.00295037802624768,0.458333333333333,0.197916666666667,0.244444444444444,0.666666666666667,0.217391304347826,0.121621621621622
78.4744,17.3753,293103583,"04/11/2014","Assault",3474197,0.832467185942536,0.406798175233011,0.00164303022264003,0.00570587319394283,0.00264306254883073,0.00200585815363084,0.00213693719709627,0.00295037802624768,0.458333333333333,0.197916666666667,0.244444444444444,0.666666666666667,0.217391304347826,0.121621621621622
78.4744,17.3753,293091869,"04/11/2014","Fight",3474197,0.832467185942536,0.406798175233011,0.00164303022264003,0.00570587319394283,0.00264306254883073,0.00200585815363084,0.00213693719709627,0.00295037802624768,0.458333333333333,0.197916666666667,0.244444444444444,0.666666666666667,0.217391304347826,0.121621621621622
78.4744,17.3753,293015595,"04/11/2014","Threaten",3474197,0.832467185942536,0.406798175233011,0.00164303022264003,0.00570587319394283,0.00264306254883073,0.00200585815363084,0.00213693719709627,0.00295037802624768,0.458333333333333,0.197916666666667,0.244444444444444,0.666666666666667,0.217391304347826,0.121621621621622
78.4744,17.3753,294728849,"04/24/2014","Coerce",3474197,0.832467185942536,0.406798175233011,0.00164303022264003,0.00570587319394283,0.00264306254883073,0.00200585815363084,0.00213693719709627,0.00295037802624768,0.458333333333333,0.197916666666667,0.244444444444444,0.666666666666667,0.217391304347826,0.121621621621622
78.4744,17.3753,287479762,"02/26/2014","Fight",3474197,0.832467185942536,0.406798175233011,0.00164303022264003,0.00570587319394283,0.00264306254883073,0.00200585815363084,0.00213693719709627,0.00295037802624768,0.458333333333333,0.197916666666667,0.244444444444444,0.666666666666667,0.217391304347826,0.121621621621622
